Year,Series,Units,Value
2015,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,240.726
2016,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,198.952
2017,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,237.62
2018,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,115.731
2019,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,84.4021
2020,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,102.029
2021,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,194.551
2022,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,254.316
2023,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,97.0976
2024,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,millions of constant 2024 United States dollars,61.1282
2015,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,300.996
2016,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,265.243
2017,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,157.939
2018,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,53.7545
2019,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,119.822
2020,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,124.756
2021,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,224.775
2022,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,42.628
2023,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,48.5641
2024,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,millions of constant 2024 United States dollars,78.9039
