Year,Units,Տեսակ,Value
2015,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2015,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2015,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2015,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2015,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2015,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2015,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2015,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2016,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2016,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2016,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2016,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2016,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2016,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2016,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2016,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2017,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2017,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2017,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2017,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2017,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2017,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
2017,%,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,4
2017,միավոր,Բնության հուշարձանների (կատեգորիա III) ընդհանուր քանակը,232
2018,%,Հատուկ պահպանվող տարածքների ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,13
2018,միավոր,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր քանակը,3
2018,%,Պետական արգելոցների (կատեգորիա Ib) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,1
2018,միավոր,Ազգային պարկերի (կատեգորիա II) ընդհանուր քանակը,4
2018,%,Ազգային պարկերի (կատեգորիա II) ընդհանուր մակերեսը %-ով երկրի տարածքի նկատմամբ,8
2018,միավոր,Պետական արգելավայրերի (կատեգորիա IV) ընդհանուր քանակը,27
