Year,Units,Категория,Возраст,Value
2015,%,всего,15-24,99.7
2015,%,город,15-24,99.8
2015,%,село,15-24,99.6
2015,%,мужчина,15-24,99.6
2015,%,женщина,15-24,99.8
2015,%,всего,15+,99.4
2015,%,город,15+,99.6
2015,%,село,15+,99.1
2015,%,мужчина,15+,99.5
2015,%,женщина,15+,99.3
2022,%,всего,15-24,99.5
2022,%,город,15-24,99.6
2022,%,село,15-24,99.5
2022,%,мужчина,15-24,99.5
2022,%,женщина,15-24,99.5
2022,%,всего,15+,99.6
2022,%,город,15+,99.7
2022,%,село,15+,99.6
2022,%,мужчина,15+,99.6
2022,%,женщина,15+,99.6
