Year,Units,Կատեգորիա,Value
2017,թվաքանակ,Plant genetic resources accessions stored ex situ,6918
2018,թվաքանակ,Plant genetic resources accessions stored ex situ,6918
2019,թվաքանակ,Plant genetic resources accessions stored ex situ,6918
2023,թվաքանակ,Plant genetic resources accessions stored ex situ,6830
2024,թվաքանակ,Plant genetic resources accessions stored ex situ,6830
2016,թվաքանակ,Plant genetic resources accessions stored ex situ,6789
2021,թվաքանակ,Plant genetic resources accessions stored ex situ,6458
2022,թվաքանակ,Plant genetic resources accessions stored ex situ,6458
2020,թվաքանակ,Plant genetic resources accessions stored ex situ,4297
2015,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2016,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2017,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2018,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2019,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2020,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2021,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2022,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2023,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2024,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2025,թվաքանակ,Անդրսահմանային ցեղատեսակների քանակը (ներառյալ անհետացածները),25
2015,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2016,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2017,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2018,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2019,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2020,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2021,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2022,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2023,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2024,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
2025,թվաքանակ,NԵրկրում առկա տեղական ցեղատեսակների քանակը,14
